START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,PURPOSE*
########,########,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain
########,########,Business,Fort Pierce,Fort Pierce,5,
########,########,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies
########,########,Business,Fort Pierce,Fort Pierce,4.7,Meeting
########,########,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit
########,########,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain
########,########,Business,West Palm Beach,Palm Beach,7.1,Meeting
########,########,Business,Cary,Cary,0.8,Meeting
########,########,Business,Cary,Morrisville,8.3,Meeting
########,########,Business,Jamaica,New York,16.5,Customer Visit
########,########,Business,New York,Queens,10.8,Meeting
########,########,Business,Elmhurst,New York,7.5,Meeting
########,########,Business,Midtown,East Harlem,6.2,Meeting
########,########,Business,East Harlem,NoMad,6.4,Temporary Site
########,########,Business,Flatiron District,Midtown,1.6,Errand/Supplies
########,########,Business,Midtown,Midtown East,1.7,Meal/Entertain
########,########,Business,Midtown East,Midtown,1.9,Meal/Entertain
########,########,Business,Midtown,Hudson Square,1.9,Meal/Entertain
########,########,Business,Hudson Square,Lower Manhattan,4,Meal/Entertain
########,########,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies
########,########,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit
########,########,Business,Hell's Kitchen,Midtown,2,Errand/Supplies
########,########,Business,New York,Queens County,15.1,Meeting
########,########,Business,Downtown,Gulfton,11.2,Meeting
########,########,Business,Gulfton,Downtown,11.8,Meeting
########,########,Business,Houston,Houston,21.9,Customer Visit
########,########,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies
########,########,Business,Morrisville,Cary,8,Errand/Supplies
########,########,Business,Cary,Durham,10.4,Meal/Entertain
########,########,Business,Durham,Cary,10.4,Meal/Entertain
########,########,Business,Cary,Cary,4.8,Meal/Entertain
########,########,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain
########,########,Business,Whitebridge,Lake Wellingborough,7.2,
########,########,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site
########,########,Business,Cary,Raleigh,17.1,Meeting
########,########,Business,Fayetteville Street,Umstead,15.1,Meeting
########,########,Business,Raleigh,Cary,40.2,Customer Visit
########,########,Business,Cary,Cary,1.6,Errand/Supplies
########,########,Business,Cary,Cary,2.4,Meal/Entertain
########,########,Business,Cary,Cary,1,Meal/Entertain
########,########,Business,Whitebridge,Hazelwood,2,Meal/Entertain
########,########,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies
########,########,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies
########,########,Business,Cary,Cary,1.4,Errand/Supplies
########,########,Business,Cary,Cary,0.5,Errand/Supplies
########,########,Business,Cary,Cary,1.8,Meeting
########,########,Business,Cary,Raleigh,18.7,Customer Visit
########,########,Business,Fairmont,Meredith Townes,3.4,Customer Visit
########,########,Business,Raleigh,Raleigh,2.7,Customer Visit
########,########,Business,Raleigh,Cary,12.9,Customer Visit
########,########,Business,Cary,Raleigh,19,Temporary Site
########,########,Business,Meredith Townes,Leesville Hollow,14.7,Meeting
########,########,Business,Raleigh,Cary,15.7,Meeting
########,########,Business,Cary,Cary,4.6,Customer Visit
########,########,Business,Cary,Cary,5.2,Meeting
########,########,Business,Cary,Durham,10.4,Meeting
########,########,Business,Durham,Cary,10.1,Meeting
########,########,Business,Cary,Apex,5.8,Errand/Supplies
########,########,Business,Apex,Cary,5.5,Meal/Entertain
########,########,Business,Cary,Apex,5.7,Errand/Supplies
########,########,Business,Apex,Cary,5.7,Customer Visit
########,########,Business,Cary,Chapel Hill,19.4,Customer Visit
########,########,Business,Chapel Hill,Cary,23.3,Customer Visit
########,########,Business,Northwoods,Whitebridge,3.9,Meal/Entertain
########,########,Business,Whitebridge,Williamsburg Manor,8.3,Meeting
########,########,Business,Cary,Cary,6,Errand/Supplies
########,########,Business,Cary,Cary,1.6,Errand/Supplies
########,########,Business,Cary,Morrisville,5.2,Errand/Supplies
########,########,Business,Morrisville,Cary,9.7,Meal/Entertain
########,########,Business,Cary,Cary,1.6,Meal/Entertain
########,########,Business,Cary,Cary,1.1,Meal/Entertain
########,########,Business,Cary,Cary,1.6,Meal/Entertain
########,########,Business,Whitebridge,Macgregor Downs,9,Meeting
########,########,Business,Cary,Cary,7.7,Meeting
########,########,Business,Cary,Durham,10.4,Meeting
########,########,Business,Durham,Cary,10.4,Meeting
########,########,Business,Cary,Raleigh,11.4,Between Offices
########,########,Business,Raleigh,Cary,9,Errand/Supplies
########,########,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain
########,########,Business,Cary,Apex,5.6,Errand/Supplies
########,########,Business,Apex,Cary,5.7,Customer Visit
########,########,Business,Cary,Morrisville,6.1,Temporary Site
########,########,Business,Morrisville,Cary,6.1,Meeting
########,########,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain
########,########,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain
########,########,Personal,Whitebridge,Northwoods,5.3,
########,########,Personal,Northwoods,Tanglewood,3,
########,########,Personal,Tanglewood,Preston,5.1,
########,########,Personal,Preston,Whitebridge,1.5,
########,########,Business,Cary,Morrisville,6.1,
########,########,Business,Morrisville,Cary,6.1,Meal/Entertain
########,########,Business,Cary,Raleigh,17.3,Meal/Entertain
########,########,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain
########,########,Business,Raleigh,Morrisville,13.5,Temporary Site
########,########,Business,Morrisville,Cary,6.1,Temporary Site
########,########,Business,Cary,Durham,8.5,Temporary Site
########,########,Business,Durham,Morrisville,2.6,Temporary Site
########,########,Business,Morrisville,Raleigh,17,Customer Visit
########,########,Business,Raleigh,Cary,18,Meeting
########,########,Business,Cary,Morrisville,8.4,Meeting
########,########,Business,Morrisville,Cary,11.5,Customer Visit
########,########,Business,Cary,Morrisville,8.9,Meeting
########,########,Personal,East Elmhurst,Jackson Heights,2.7,
########,########,Personal,Jackson Heights,East Elmhurst,1.8,
########,########,Business,East Elmhurst,New York,8.1,Meeting
########,########,Business,Midtown,Midtown West,2,Meeting
########,########,Business,New York,Long Island City,13,Meeting
########,########,Business,Long Island City,Jamaica,13.9,Meeting
########,########,Business,Katunayaka,Unknown Location,43.7,Customer Visit
########,########,Business,Unknown Location,Colombo,14.1,
########,########,Business,Colombo,Colombo,2.6,
########,########,Business,Colombo,Colombo,4.5,
########,########,Business,Colombo,Colombo,1.7,
########,########,Business,Colombo,Colombo,1.8,Temporary Site
########,########,Business,Colombo,Colombo,6,
########,########,Business,Colombo,Nugegoda,1.1,Meal/Entertain
########,########,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies
########,########,Business,Unknown Location,Colombo,14.7,Temporary Site
########,########,Business,Colombo,Colombo,1.7,Meal/Entertain
########,########,Business,Colombo,Katunayaka,21.4,Temporary Site
########,########,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies
########,########,Business,Unknown Location,Unknown Location,23.5,Temporary Site
########,########,Business,Unknown Location,Islamabad,12.7,Temporary Site
########,########,Business,Islamabad,Unknown Location,6,Temporary Site
########,########,Business,Unknown Location,Islamabad,5.2,Customer Visit
########,########,Business,Islamabad,Unknown Location,10,Meeting
########,########,Business,Unknown Location,Unknown Location,18.3,Meeting
########,########,Business,Unknown Location,Unknown Location,11.2,Meeting
########,########,Business,Unknown Location,Islamabad,7.6,Meeting
########,########,Personal,Islamabad,Islamabad,1.5,
########,########,Personal,Islamabad,Islamabad,1,
########,########,Business,Islamabad,Unknown Location,7.3,Temporary Site
########,########,Business,Unknown Location,Islamabad,3.5,
########,########,Business,Islamabad,Islamabad,4.2,
########,########,Personal,Islamabad,Unknown Location,13.6,
########,########,Personal,Unknown Location,Unknown Location,2.5,
########,########,Personal,Unknown Location,Islamabad,14.4,
########,########,Personal,Islamabad,Islamabad,3,
########,########,Personal,Islamabad,Islamabad,1.5,
########,########,Business,Islamabad,R?walpindi,18.4,
########,########,Business,R?walpindi,R?walpindi,23.1,Meeting
########,########,Personal,R?walpindi,Unknown Location,16.5,
########,########,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies
########,########,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies
########,########,Business,Unknown Location,Islamabad,14.5,
########,########,Business,Unknown Location,Islamabad,2.4,Errand/Supplies
########,########,Business,Islamabad,Islamabad,4.6,Errand/Supplies
########,########,Business,Islamabad,Unknown Location,8.8,Meal/Entertain
########,########,Business,Unknown Location,Unknown Location,8.3,Temporary Site
########,########,Business,Unknown Location,Unknown Location,22.7,Temporary Site
########,########,Business,Unknown Location,Islamabad,13,Temporary Site
########,########,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site
########,########,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain
########,########,Business,Unknown Location,Unknown Location,9.7,
########,########,Business,Unknown Location,R?walpindi,20,Meeting
########,########,Business,Morrisville,Cary,8.1,Customer Visit
########,########,Business,Whitebridge,Preston,1.5,
########,########,Business,Preston,Whitebridge,1.7,Errand/Supplies
########,########,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies
########,########,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies
########,########,Business,Whitebridge,Tanglewood,6,Meal/Entertain
########,########,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain
########,########,Business,Whitebridge,Westpark Place,6.3,
########,########,Personal,Westpark Place,Whitebridge,1.7,
########,########,Business,Cary,Durham,10.6,Meeting
########,########,Business,Durham,Cary,9.9,Meeting
########,########,Personal,Whitebridge,Westpark Place,1.9,
########,########,Personal,Westpark Place,Hazelwood,4.2,
########,########,Personal,Hazelwood,Whitebridge,2,
########,########,Business,Whitebridge,Waverly Place,7.7,Meeting
########,########,Business,Waverly Place,Whitebridge,6.8,Meeting
########,########,Personal,Whitebridge,Westpark Place,2.1,
########,########,Business,Cary,Apex,3.8,Meeting
########,########,Business,Apex,Cary,5.6,Meeting
########,########,Business,Whitebridge,Hazelwood,2.6,
########,########,Business,Hazelwood,Whitebridge,6.6,Customer Visit
########,########,Business,Whitebridge,Wayne Ridge,8,Meal/Entertain
########,########,Business,Wayne Ridge,Whitebridge,8,Meeting
########,########,Personal,Whitebridge,Westpark Place,2.2,
########,########,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies
########,########,Business,Whitebridge,Northwoods,5.2,Meal/Entertain
########,########,Business,Cary,Raleigh,7.6,Customer Visit
########,########,Business,Raleigh,Cary,17.3,Meeting
########,########,Business,Cary,Durham,9.9,Meeting
########,########,Business,Durham,Cary,9.9,Customer Visit
########,########,Business,Cary,Durham,10.4,Meeting
########,########,Business,Durham,Cary,10.9,Meeting
########,########,Business,Cary,Raleigh,15.7,Customer Visit
########,########,Business,Raleigh,Raleigh,4.9,Meal/Entertain
########,########,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies
########,########,Business,Raleigh,Cary,13.5,Meeting
########,########,Business,Cary,Morrisville,1.9,Temporary Site
########,########,Business,Morrisville,Cary,2,Meal/Entertain
########,########,Business,Cary,Morrisville,6.5,Meal/Entertain
########,########,Personal,Weston,Weston,4.2,
########,########,Personal,Morrisville,Cary,3.5,
########,########,Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain
########,########,Business,Cary,Morrisville,7.8,Meal/Entertain
########,########,Business,Morrisville,Cary,3.9,Meal/Entertain
########,########,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies
########,########,Business,Cary,Raleigh,12.4,Customer Visit
########,########,Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit
########,########,Business,Meredith Townes,Leesville Hollow,9.4,Meeting
########,########,Business,Raleigh,Cary,11.9,Between Offices
########,########,Business,Whitebridge,Waverly Place,7.2,Between Offices
########,########,Business,Waverly Place,Whitebridge,7.6,Meal/Entertain
########,########,Personal,Whitebridge,Whitebridge,1.6,
########,########,Business,Cary,Morrisville,8.4,Meeting
########,########,Business,East Austin,West University,12.8,Meeting
########,########,Business,West University,South Congress,2.3,
########,########,Business,South Congress,Arts District,1.6,
########,########,Business,The Drag,Congress Ave District,2,Meal/Entertain
########,########,Business,Congress Ave District,Downtown,0.8,
########,########,Business,Downtown,Red River District,1.2,
########,########,Business,Red River District,Downtown,1,
########,########,Business,South Congress,The Drag,2.1,
########,########,Business,The Drag,South Congress,2.2,
########,########,Personal,South Congress,The Drag,1.9,
########,########,Business,The Drag,Convention Center District,5.7,Meal/Entertain
########,########,Business,South Congress,North Austin,8.4,Meal/Entertain
########,########,Business,Georgian Acres,The Drag,6.2,Meal/Entertain
########,########,Business,The Drag,North Austin,10.5,Meal/Entertain
########,########,Business,North Austin,Coxville,7.2,Meal/Entertain
########,########,Business,Coxville,The Drag,12.5,
########,########,Business,The Drag,South Congress,2,Errand/Supplies
########,########,Business,South Congress,The Drag,2.7,
########,########,Business,The Drag,Convention Center District,2,Meal/Entertain
########,########,Business,Downtown,The Drag,2.8,Meal/Entertain
########,########,Business,The Drag,Congress Ave District,1.7,Meal/Entertain
########,########,Business,Convention Center District,West University,2,
########,########,Business,West University,Congress Ave District,2.1,Meal/Entertain
########,########,Personal,Downtown,The Drag,1.7,
########,########,Business,Austin,Katy,136,Customer Visit
########,########,Business,Katy,Houston,30.2,Meeting
########,########,Business,Midtown,Alief,15.5,Meal/Entertain
########,########,Personal,Houston,Houston,4.9,
########,########,Personal,Houston,Houston,12.6,
########,########,Personal,Sharpstown,Midtown,10.4,
########,########,Business,Midtown,Midtown,1.1,Meal/Entertain
########,########,Business,Midtown,Midtown,1.1,Meal/Entertain
########,########,Business,Midtown,Sharpstown,13.2,Meeting
########,########,Business,Sharpstown,Sharpstown,1,Errand/Supplies
########,########,Business,Sharpstown,Midtown,9.2,Customer Visit
########,########,Business,Midtown,Sharpstown,9.4,Meal/Entertain
########,########,Business,Houston,Sugar Land,12,Customer Visit
########,########,Business,Sugar Land,Houston,35.1,Customer Visit
########,########,Business,Houston,Galveston,36.5,Meal/Entertain
########,########,Business,Galveston,Port Bolivar,3.1,Meal/Entertain
########,########,Business,Port Bolivar,Port Bolivar,2.1,Errand/Supplies
########,########,Business,Port Bolivar,Port Bolivar,1.2,
########,########,Business,Port Bolivar,Galveston,7.5,Meeting
########,########,Business,Galveston,Houston,57,Customer Visit
########,########,Business,Midtown,Washington Avenue,5.9,Meeting
########,########,Business,Washington Avenue,Midtown,6.2,Meeting
########,########,Business,Midtown,Sharpstown,10.4,
########,########,Personal,Sharpstown,Briar Meadow,1.2,
########,########,Business,Briar Meadow,Midtown,9.6,Customer Visit
########,########,Personal,Midtown,Downtown,1,
########,########,Business,Downtown,Midtown,0.9,Meal/Entertain
########,########,Business,Midtown,Sharpstown,8.8,
########,########,Business,Sharpstown,Midtown,25.6,Meal/Entertain
########,########,Business,Midtown,Greater Greenspoint,23,Meal/Entertain
########,########,Personal,Morrisville,Cary,8.1,
########,########,Personal,Whitebridge,Whitebridge,1.4,
########,########,Personal,Whitebridge,Preston,1.7,
########,########,Personal,Preston,Whitebridge,1.6,
########,########,Personal,Whitebridge,Westpark Place,2,
########,########,Business,Westpark Place,Whitebridge,2.2,
########,########,Business,Cary,Latta,144,Customer Visit
########,########,Business,Latta,Jacksonville,310.3,Customer Visit
########,########,Business,Jacksonville,Kissimmee,201,Meeting
########,########,Personal,Couples Glen,Isles of Buena Vista,6.7,
########,########,Personal,Kissimmee,Orlando,8.8,
########,########,Personal,Lake Reams,Lake Reams,1.2,
########,########,Business,Lake Reams,Lake Reams,2.1,Errand/Supplies
########,########,Business,Orlando,Kissimmee,6.6,Meal/Entertain
########,########,Business,Kissimmee,Orlando,6.1,Customer Visit
########,########,Personal,Orlando,Orlando,6.9,
########,########,Personal,Orlando,Kissimmee,7.3,
########,########,Personal,Kissimmee,Orlando,3.6,
########,########,Personal,Couples Glen,Vista East,27.2,
########,########,Personal,Orlando,Kissimmee,25.7,
########,########,Personal,Kissimmee,Orlando,13.6,
########,########,Personal,Sand Lake Commons,Sky Lake,6.2,
########,########,Personal,Sky Lake,Sand Lake Commons,6,
########,########,Personal,Orlando,Kissimmee,13.8,
########,########,Business,Orlando,Kissimmee,28.8,Meal/Entertain
########,########,Business,Kissimmee,Orlando,16.1,Temporary Site
########,########,Business,Orlando,Kissimmee,16.4,Meal/Entertain
########,########,Business,Kissimmee,Kissimmee,11,Meeting
########,########,Business,Kissimmee,Orlando,15.5,Customer Visit
########,########,Business,Orlando,Kissimmee,20.3,Meeting
########,########,Personal,Kissimmee,Kissimmee,0.7,
########,########,Personal,Kissimmee,Kissimmee,5.5,
########,########,Personal,Kissimmee,Kissimmee,5.1,
########,########,Business,Kissimmee,Daytona Beach,77.3,Customer Visit
########,########,Business,Daytona Beach,Jacksonville,80.5,Customer Visit
########,########,Business,Jacksonville,Ridgeland,174.2,Customer Visit
########,########,Business,Ridgeland,Florence,144,Meeting
########,########,Business,Florence,Cary,159.3,Meeting
########,########,Business,Whitebridge,Wayne Ridge,7.9,Meal/Entertain
########,########,Business,Wayne Ridge,Whitebridge,8,Meal/Entertain
########,########,Business,Cary,Morrisville,6.1,Meal/Entertain
########,########,Business,Morrisville,Cary,6.1,Errand/Supplies
########,########,Business,Cary,Durham,10.5,Meeting
########,########,Business,Durham,Cary,8.7,Meal/Entertain
########,########,Business,Westpark Place,Whitebridge,1.8,Errand/Supplies
########,########,Business,Cary,Raleigh,19.1,Meeting
########,########,Business,Raleigh,Cary,18.6,Meeting
########,########,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies
########,########,Business,Cary,Raleigh,8.9,Meeting
########,########,Business,Meredith,Cedar Hill,7.5,Customer Visit
########,########,Business,Raleigh,Morrisville,15.9,Meeting
########,########,Business,Morrisville,Cary,6.5,Meal/Entertain
########,########,Business,Cary,Holly Springs,15.3,Temporary Site
########,########,Business,Holly Springs,Cary,13.7,Temporary Site
########,########,Business,Cary,Raleigh,11.9,Temporary Site
########,########,Business,Meredith Townes,Harden Place,1.4,Errand/Supplies
########,########,Business,Raleigh,Cary,15.2,Meeting
########,########,Business,Cary,Morrisville,6,Errand/Supplies
########,########,Business,Morrisville,Cary,6.1,Meal/Entertain
########,########,Business,Whitebridge,Wayne Ridge,8.2,Meal/Entertain
########,########,Business,Wayne Ridge,Whitebridge,8,Meal/Entertain
########,########,Business,Cary,Raleigh,13.6,Meeting
########,########,Business,Raleigh,Cary,22.5,Meeting
########,########,Business,Cary,Durham,10.4,Meeting
########,########,Business,Durham,Cary,10,Meeting
########,########,Business,Whitebridge,Tanglewood,6,Meal/Entertain
########,########,Business,Tanglewood,Whitebridge,6.5,Meal/Entertain
########,########,Business,Cary,Morrisville,3.1,Errand/Supplies
########,########,Business,Chessington,Chessington,1.9,Errand/Supplies
########,########,Business,Morrisville,Cary,4.2,Between Offices
########,########,Business,Whitebridge,Burtrose,4.9,Between Offices
########,########,Business,Burtrose,Whitebridge,4.8,Between Offices
########,########,Business,Cary,Raleigh,12.4,Customer Visit
########,########,Business,Raleigh,Cary,32.8,Customer Visit
########,########,Business,Morrisville,Cary,5.5,Customer Visit
########,########,Business,Cary,Durham,9.9,Meeting
########,########,Business,Durham,Cary,10,Meeting
########,########,Business,Cary,Durham,14.2,Customer Visit
########,########,Business,Durham,Cary,18.2,Meeting
########,########,Business,Whitebridge,Waverly Place,7.7,Meal/Entertain
########,########,Business,Waverly Place,Whitebridge,6.8,
########,########,Business,Whitebridge,Westpark Place,2.1,Meal/Entertain
########,########,Business,Westpark Place,Whitebridge,2.3,
########,########,Business,Whitebridge,Tanglewood,6.2,Between Offices
########,########,Business,Tanglewood,Parkway,7.5,Meeting
########,########,Business,Parkway,Whitebridge,3.1,Errand/Supplies
########,########,Business,Whitebridge,Westpark Place,2.2,Errand/Supplies
########,########,Business,Westpark Place,Whitebridge,3.9,Meal/Entertain
########,########,Business,Morrisville,Cary,2.5,Meal/Entertain
########,########,Business,Cary,Morrisville,8.7,Meal/Entertain
########,########,Business,Mcvan,Capitol One,14.5,Errand/Supplies
########,########,Business,Capitol One,University District,4.5,Meal/Entertain
########,########,Business,University District,Capitol One,5,Meal/Entertain
########,########,Business,Seattle,Redmond,14.2,Meal/Entertain
########,########,Business,Redmond,Bellevue,2.9,Errand/Supplies
########,########,Business,Bellevue,Seattle,12.9,Meeting
########,########,Business,Capitol One,Mcvan,14.4,Meeting
########,########,Business,Chapel Hill,Morrisville,17,Meeting
########,########,Business,Morrisville,Cary,7.9,Customer Visit
########,########,Business,Cary,Morrisville,8.4,Customer Visit
########,########,Business,San Francisco,Palo Alto,20.5,Between Offices
########,########,Business,Palo Alto,Sunnyvale,9.8,Customer Visit
########,########,Business,Sunnyvale,Newark,17.6,Customer Visit
########,########,Business,Newark,Menlo Park,9.3,Customer Visit
########,########,Business,Menlo Park,Newark,7.9,Customer Visit
########,########,Business,Newark,San Francisco,25.6,Meeting
########,########,Business,Morrisville,Cary,8.1,Meeting
